title,type
Don Quixote,book
War and Peace,book
Pride and Prejudice,book
The Great Gatsby,book
Moby-Dick,book
1984,book
Ulysses,book
Crime and Punishment,book
Anna Karenina,book
The Catcher in the Rye,book
Brave New World,book
The Lord of the Rings,book
Jane Eyre,book
Wuthering Heights,book
The Hobbit,book
To Kill a Mockingbird,book
Fahrenheit 451,book
The Brothers Karamazov,book
Great Expectations,book
The Picture of Dorian Gray,book
Frankenstein,book
Dracula,book
The Little Prince,book
Les Misérables,book
One Hundred Years of Solitude,book
Madame Bovary,book
The Divine Comedy,book
The Odyssey,book
The Iliad,book
Hamlet,book
Othello,book
Macbeth,book
King Lear,book
Heart of Darkness,book
The Stranger,book
The Metamorphosis,book
Lolita,book
The Trial,book
Emma,book
Sense and Sensibility,book
Persuasion,book
Treasure Island,book
Gulliver's Travels,book
Alice's Adventures in Wonderland,book
Through the Looking-Glass,book
Peter Pan,book
The Wind in the Willows,book
The Jungle Book,book
The Call of the Wild,book
White Fang,book
The Old Man and the Sea,book
The Sun Also Rises,book
A Farewell to Arms,book
In Search of Lost Time,book
The Sound and the Fury,book
Beloved,book
Invisible Man,book
Slaughterhouse-Five,book
Catch-22,book
Lord of the Flies,book
Things Fall Apart,book
The Color Purple,book
A Clockwork Orange,book
The Bell Jar,book
The Handmaid's Tale,book
Watership Down,book
The Alchemist,book
The Kite Runner,book
Life of Pi,book
Norwegian Wood,book
The Name of the Rose,book
The Shadow of the Wind,book
The Road,book
Atonement,book
Never Let Me Go,book
American Gods,book
The God of Small Things,book
The Book Thief,book
The Goldfinch,book
The Secret History,book
Middlemarch,book
Don Juan,book
The Scarlet Letter,book
The Time Machine,book
The War of the Worlds,book
Journey to the Center of the Earth,book
Twenty Thousand Leagues Under the Seas,book
Around the World in Eighty Days,book
Dune,book
Foundation,book
Ender's Game,book
The Hunger Games,book
Harry Potter and the Philosopher's Stone,book
Harry Potter and the Chamber of Secrets,book
Harry Potter and the Prisoner of Azkaban,book
Harry Potter and the Goblet of Fire,book
Harry Potter and the Order of the Phoenix,book
Harry Potter and the Half-Blood Prince,book
Harry Potter and the Deathly Hallows,book
The Chronicles of Narnia,book
The Godfather,film
The Godfather Part II,film
The Dark Knight,film
Pulp Fiction,film
The Lord of the Rings: The Return of the King,film
Schindler's List,film
Fight Club,film
Forrest Gump,film
Inception,film
The Matrix,film
Goodfellas,film
Star Wars: Episode V – The Empire Strikes Back,film
Interstellar,film
Parasite,film
The Silence of the Lambs,film
Saving Private Ryan,film
Spirited Away,film
The Green Mile,film
Seven,film
Gladiator,film
The Shawshank Redemption,film
Titanic,film
Back to the Future,film
Jurassic Park,film
The Lion King,film
Terminator 2: Judgment Day,film
Alien,film
The Departed,film
Whiplash,film
The Prestige,film
Django Unchained,film
The Pianist,film
City of God,film
Cinema Paradiso,film
Amélie,film
Apocalypse Now,film
Blade Runner,film
Casablanca,film
The Wizard of Oz,film
Psycho,film
Vertigo,film
Rear Window,film
Once Upon a Time in the West,film
Toy Story,film
Toy Story 3,film
Up,film
WALL·E,film
Finding Nemo,film
Inside Out,film
Coco,film
Mononoke Hime,film
Howl's Moving Castle,film
My Neighbor Totoro,film
The Shining,film
A Clockwork Orange,film
2001: A Space Odyssey,film
Full Metal Jacket,film
"The Good, the Bad and the Ugly",film
Unforgiven,film
No Country for Old Men,film
There Will Be Blood,film
The Revenant,film
The Grand Budapest Hotel,film
La La Land,film
Her,film
Arrival,film
Blade Runner 2049,film
The Truman Show,film
Eternal Sunshine of the Spotless Mind,film
The Social Network,film
The Big Lebowski,film
Fargo,film
The Breakfast Club,film
Good Will Hunting,film
The Iron Giant,film
Pan's Labyrinth,film
The Shape of Water,film
The Father,film
Everything Everywhere All at Once,film
The Imitation Game,film
Black Swan,film
Moonlight,film
Birdman,film
Manchester by the Sea,film
Lost in Translation,film
Oldboy,film
Memories of Murder,film
Shoplifters,film
Drive,film
Mad Max: Fury Road,film
Logan,film
The Incredibles,film
Ratatouille,film
The Wolf of Wall Street,film
The Irishman,film
Oppenheimer,film
Barbie,film
Avatar,film
Avengers: Endgame,film
The Avengers,film
Crime and Punishment,book
The Master and Margarita,book
Anna Karenina,book
War and Peace,book
Eugene Onegin,book
The Cherry Orchard,book
Fathers and Sons,book
The Captain’s Daughter,book
Dead Souls,book
Doctor Zhivago,book
The White Guard,book
Heart of a Dog,book
A Hero of Our Time,book
The Twelve Chairs,book
The Little Golden Calf,book
The Seagull,book
Childhood (Tolstoy),book
We (Zamyatin),book
The Overcoat,book
Solaris (Лем — но важен для русскоязычного канона),book
